,Title,Year,IMDB Rating,Summary
1,Les évadés,1994,9.217,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2,Le parrain,1972,9.16,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3,"Le parrain, 2ème partie",1974,8.995,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
4,The Dark Knight: Le chevalier noir,2008,8.955,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice."
5,12 hommes en colère,1957,8.908,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
6,La liste de Schindler,1993,8.898,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans."
7,Le seigneur des anneaux: Le retour du roi,2003,8.868,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
8,Pulp Fiction,1994,8.867,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,"Le bon, la brute et le truand",1966,8.833,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
10,Fight Club,1999,8.785,"An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soapmaker, forming an underground fight club that evolves into something much, much more."
11,Le seigneur des anneaux: La communauté de l'anneau,2001,8.769,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
12,Forrest Gump,1994,8.735,"The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75."
13,L'empire contre-attaque,1980,8.729,"After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader."
14,Inception,2010,8.723,"A thief, who steals corporate secrets through the use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO."
15,Le seigneur des anneaux: Les deux tours,2002,8.689,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
16,Vol au-dessus d'un nid de coucou,1975,8.671,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
17,Les affranchis,1990,8.663,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
18,Matrix,1999,8.65,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
19,Les sept samouraïs,1954,8.633,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
20,La cité de Dieu,2002,8.608,"Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer."
21,La guerre des étoiles,1977,8.608,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station while also attempting to rescue Princess Leia from the evil Darth Vader."
22,Seven,1995,8.605,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
23,Le silence des agneaux,1991,8.589,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
24,La vie est belle,1946,8.579,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
25,La vie est belle,1997,8.571,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
26,Usual Suspects,1995,8.554,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
27,Le voyage de Chihiro,2001,8.54,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
28,Il faut sauver le soldat Ryan,1998,8.539,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
29,Léon,1994,8.539,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade."
30,Interstellar,2014,8.508,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
31,La ligne verte,1999,8.508,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
32,American History X,1998,8.506,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
33,Psychose,1960,8.504,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
34,Il était une fois dans l'Ouest,1968,8.503,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
35,Les lumières de la ville,1931,8.501,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
36,Casablanca,1942,8.5,A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.
37,Intouchables,2011,8.487,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
38,Les temps modernes,1936,8.487,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
39,Le pianiste,2002,8.482,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
40,Les infiltrés,2006,8.479,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
41,Terminator 2 - Le jugement dernier,1991,8.476,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
42,Les aventuriers de l'arche perdue,1981,8.476,Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.
43,Fenêtre sur cour,1954,8.475,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
44,Retour vers le futur,1985,8.474,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
45,Whiplash,2014,8.472,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
46,Gladiator,2000,8.464,"When a Roman General is betrayed, and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge."
47,Le roi lion,1994,8.459,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
48,Le prestige,2006,8.457,After a tragic accident two stage magicians engage in a battle to create the ultimate illusion whilst sacrificing everything they have to outwit the other.
49,Memento,2000,8.449,A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.
50,Apocalypse Now,1979,8.448,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe."
51,Alien - Le 8ème passager,1979,8.438,"After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun."
